Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Japan,JPN,"Fish species, threatened",EN.FSH.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77,..,..,..,166,..,..
Japan,JPN,"Plant species (higher), threatened",EN.HPT.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,..,..,..,75,..,..
Japan,JPN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,62.83818817,62.72698975,62.47266006,63.18722916,62.46297836,62.2089386,62.11849976,62.13584137,63.17026901,64.62882996,64.89122009,..
Japan,JPN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.38049552,14.21770074,14.07585683,13.94782717,13.84183379,13.75236493,13.66832283,13.59396644,13.53250909,13.45660675,13.37092853,13.28949657,13.19609303,13.09008362,12.97072627,12.8443763,12.72324924,12.60783267,12.49122192,12.36655903,12.22075282,12.04826445,11.85893618,11.64929062,11.4361016
Japan,JPN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.17767331,67.74799091,67.32445005,66.95758363,66.53658804,65.96573529,65.35321824,64.77933374,64.21411126,63.78092474,63.53104559,63.05776392,62.29122864,61.4978528,60.80308539,60.23262029,59.76472262,59.41434595,59.16356175,59.00467021,58.8610728,58.73473848,58.73841652,58.7888993,58.783128
Japan,JPN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,17.44183117,18.03430835,18.59969312,19.0945892,19.62157816,20.28189978,20.97845893,21.62669983,22.25337965,22.76246851,23.09802588,23.65273951,24.51267833,25.41206358,26.22618834,26.92300342,27.51202814,27.97782138,28.34521633,28.62877075,28.91817438,29.21699707,29.40264731,29.56181008,29.7807704
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,39169.35957,34406.18246,32820.79364,35387.03742,38298.98017,37812.89502,35991.546,35779.02454,39876.30397,41308.99684,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,40028.73417,40094.55998,34065.6439,33836.17563,32487.0778
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,29.9907,38.5321,46.5942,48.4353,62.3939,66.9211,68.6853,74.3,75.4,78,78.21,79.0541,79.4964,88.2194,89.1068,91.058,93.1827,91.7265,88.7464,92.7304,90.2195,82.9141,84.9234,86.9815,..
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.764647551,0.386103426,0.041962499,1.535125499,2.186115694,1.803900872,1.372350128,1.483969412,-1.224289001,-5.693236359,4.097917919,0.023809524,1.374750999,2.005100177,0.296205514,1.560626697,0.753826746,1.675331752,0.643391024,-0.402169201,-4.168764571,2.696574042,0.941998775,1.475034811,0.104309022
Japan,JPN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,32.51358706,30.9812267,30.22260008,30.07892076,29.96693054,29.87170704,29.66557181,29.59729581,28.78297644,27.11121222,28.33597017,26.70143607,26.56264143,26.65074506,27.31362673,28.58371142,28.62994765,28.88242601,29.01400769,28.80408481,29.05680761,29.21919409,27.71743746,28.6021836,..
